"REPD Ref","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
"Strathclyde","Glasgow Road, Blantyre - Solar Panels","Solar Photovoltaics",0.37,"Application Submitted","South Lanarkshire","S12000029"
"Strathclyde","Low Drumclog Farm, Drumclog - 3 Wind Turbines","Wind Onshore",20,"Application Submitted","South Lanarkshire","S12000029"
"Strathclyde","Dungavel House, IRC Muirkirk Road - Wind Farm","Wind Onshore",11.4,"Application Submitted","South Lanarkshire","S12000029"
"Strathclyde","Hazelside farm","Wind Onshore",1.6,"Under Construction","South Lanarkshire","S12000029"
"Strathclyde","Bankend Rig II Wind Farm","Wind Onshore",10.2,"Application Submitted","South Lanarkshire","S12000029"
"South Lanarkshire","Draffanmarshill Farm","Wind Onshore",4.2,"Application Submitted","South Lanarkshire","S12000029"
"Lothian","Woolfords Farm - Onshore Wind Turbines","Wind Onshore",19.8,"Application Submitted","South Lanarkshire","S12000029"
"South Lanarkshire","Broken Cross (Former Surface Mine)","Wind Onshore",40,"Awaiting Construction","South Lanarkshire","S12000029"
"South Lanarkshire","Cumberhead Wind Farm","Wind Onshore",48,"Application Submitted","South Lanarkshire","S12000029"
"South Lanarkshire","Skellyton Wastewater Treatment Works - Solar Photovoltaic Panels","Solar Photovoltaics",0.199,"Awaiting Construction","South Lanarkshire","S12000029"
"Strathclyde","Little Gala Wind Farm","Wind Onshore",30,"Application Submitted","South Lanarkshire","S12000029"
"Strathclyde","Central Eco Park - Solar Farm","Solar Photovoltaics",12,"Application Submitted","South Lanarkshire","S12000029"
"Strathclyde","West Dykes","Wind Onshore",3,"Awaiting Construction","South Lanarkshire","S12000029"
"South Lanarkshire","Priestgill Wind Farm","Wind Onshore",22.4,"Awaiting Construction","South Lanarkshire","S12000029"
"Strathclyde","Clyde Avenue, Bothwell - Solar Array","Solar Photovoltaics",0.65,"Application Submitted","South Lanarkshire","S12000029"
"Strathclyde","Clyde Gateway Developments Limited - D2 Grids Demonstrator Project","Solar Photovoltaics",NA,"Application Submitted","South Lanarkshire","S12000029"
"Strathclyde","Mains Of Boquhan - Anaerobic Digester Facility","Anaerobic Digestion",NA,"Awaiting Construction","Stirling","S12000030"
"Stirling","Airthrey Road -  PV Solar Panels","Solar Photovoltaics",NA,"Awaiting Construction","Stirling","S12000030"
"Central","Shelloch Wind Farm","Wind Onshore",24,"Awaiting Construction","Stirling","S12000030"
"Stirling","Patrickston Farm","Solar Photovoltaics",15,"Awaiting Construction","Stirling","S12000030"
"Strathclyde","Aggreko, Stirling Road - Solar Panels","Solar Photovoltaics",NA,"Application Submitted","West Dunbartonshire","S12000039"
"Strathclyde","Rothesay Dock Plastic to Hydrogen Recycling Facility","Hydrogen",3.8,"Application Submitted","West Dunbartonshire","S12000039"
"West Lothian","Bathgate Waste Water Treatment - Solar Panels","Solar Photovoltaics",0.344,"Awaiting Construction","West Lothian","S12000040"
"West Lothian","Longhill Burn Wind Farm","Wind Onshore",45.6,"Awaiting Construction","West Lothian","S12000040"
"West Lothian","Uphall Business Park, Uphall - Solar PV Panels","Solar Photovoltaics",0.32841,"Awaiting Construction","West Lothian","S12000040"
"West Lothian","The Wyman Gordon Facility, Nettlehill Road- Solar Farm","Solar Photovoltaics",2,"Application Submitted","West Lothian","S12000040"
"West Lothian","Harburnhead Windfarm - Wind Turbine","Wind Onshore",4,"Application Submitted","West Lothian","S12000040"
"Lothian","Selms Muir - Solar Farm","Solar Photovoltaics",18,"Awaiting Construction","West Lothian","S12000040"
"West Lothian","Tormywheel Wind Farm Extension","Wind Onshore",5,"Awaiting Construction","West Lothian","S12000040"
"West Lothian","Gladsmuir Hills - Wind Farm","Wind Onshore",41,"Application Submitted","West Lothian","S12000040"
"West Lothian","Iron Mountain Building","Solar Photovoltaics",0.3,"Awaiting Construction","West Lothian","S12000040"
"West Lothian","Blackburn Waste Water Treatrment, Redhouse Road - Solar Panels","Solar Photovoltaics",0.34,"Awaiting Construction","West Lothian","S12000040"
"West Lothian","Heartland Terrace, Heartlands - Solar Photovoltaic Panels","Solar Photovoltaics",0.5289,"Awaiting Construction","West Lothian","S12000040"
"West Lothian","Levenseat Waste Management Facility","Advanced Conversion Technologies",17,"Awaiting Construction","West Lothian","S12000040"
"West Lothian","Pearie Law - Wind turbines","Wind Onshore",14.4,"Awaiting Construction","West Lothian","S12000040"
"West Lothian","Camilty Plantation - Wind Farm","Wind Onshore",25.8,"Awaiting Construction","West Lothian","S12000040"
