"REPD Ref","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
"Clackmannanshire","Burnfoot East Wind Farm (further extension)","Wind Onshore",10.8,"Under Construction","Clackmannanshire","S12000005"
"Western Isles","Sandwick North St Community wind turbine","Wind Onshore",5,"Awaiting Construction","Comhairle nan Eilean Siar","S12000013"
"Western Isles","Druim Leathann Windfarm","Wind Onshore",48.3,"Application Submitted","Comhairle nan Eilean Siar","S12000013"
"Western Isles","Sandwick East Community Wind Farm","Wind Onshore",49.9,"Application Submitted","Comhairle nan Eilean Siar","S12000013"
"Western Isles","Beinn Thulabaigh Wind Turbine","Wind Onshore",5,"Awaiting Construction","Comhairle nan Eilean Siar","S12000013"
"Dumfries and Galloway","Glenmuckloch Wind Farm","Wind Onshore",33.6,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Glenhead Of Aldouran - Solar Array & Water Source Heat Pump System","Solar Photovoltaics",0.215,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Cornharrow - Wind Farm & Battery Storage","Wind Onshore",50,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Knockman Hill, Milnmark Farm - Wind Turbines","Wind Onshore",5,"Application Submitted","Dumfries and Galloway","S12000006"
"Wigtownshire","Barlockhart Moor Wind Turbines","Wind Onshore",8.4,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Fell Wind Farm","Wind Onshore",49,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Garvilland Farm","Wind Onshore",18,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Loganhead Wind Farm","Wind Onshore",25.6,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Plascow Wind Turbine","Wind Onshore",NA,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Glenshimmeroch Wind Farm","Wind Onshore",36,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Mochrum Fell Wind Farm","Wind Onshore",24,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Callisterhall Wind Farm -  Wind Farm & Battery Storage","Wind Onshore",39.2,"Application Submitted","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Twentyshilling Hill Wind Farm","Wind Onshore",37.8,"Under Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Tesco Superstore Annan","Solar Photovoltaics",0.2,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Torrs Hill","Wind Onshore",4,"Under Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Jockstown Farm Solar Farm","Solar Photovoltaics",37.9,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Land between Lorg Hill, Ewe Hill and Brown Hill","Wind Onshore",32.4,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Tesco Extra Dumfries","Solar Photovoltaics",0.8,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","Larbrax Wind Farm","Wind Onshore",20,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Dumfries and Galloway","High Nunton Farm - Solar Farm & Battery Storage","Solar Photovoltaics",49.9,"Application Submitted","Dumfries and Galloway","S12000006"
"Wigtownshire","Sandmill, Sandhead - Solar Panels","Solar Photovoltaics",0.46,"Awaiting Construction","Dumfries and Galloway","S12000006"
"Tayside","Baldovie Industrial Estate (Forties Road)","EfW Incineration",10,"Under Construction","Dundee City","S12000042"
"Tayside","Dykes Of Gray Road - Solar PV Array","Solar Photovoltaics",2,"Awaiting Construction","Dundee City","S12000042"
"Angus","Harris Academy, Perth Road - Extension/Roof Solar Photovoltaic Array","Solar Photovoltaics",NA,"Awaiting Construction","Dundee City","S12000042"
"Dundee","Police Station, Balunie Drive - Solar PV Array","Solar Photovoltaics",0.162405,"Application Submitted","Dundee City","S12000042"
"East Ayrshire","Polquhairn Wind Farm","Wind Onshore",34.2,"Application Submitted","East Ayrshire","S12000008"
"Strathclyde","Knockshinnoch Wind Farm","Wind Onshore",4,"Awaiting Construction","East Ayrshire","S12000008"
"East Ayrshire","Over Hill Wind Farm","Wind Onshore",33,"Awaiting Construction","East Ayrshire","S12000008"
"Strathclyde","Lorg Windfarm","Wind Onshore",49.5,"Awaiting Construction","East Ayrshire","S12000008"
"East Ayrshire","Loch Doon Dam Compensation Set","Small Hydro",0.3,"Awaiting Construction","East Ayrshire","S12000008"
"Ayrshire","Barr Killoch Energy Recovery Park","EfW Incineration",12,"Application Submitted","East Ayrshire","S12000008"
"Strathclyde","Moorfield North Industrial Park, Moorfield","Solar Photovoltaics",NA,"Application Submitted","East Ayrshire","S12000008"
"East Ayrshire","Hare Craig Windfarm","Wind Onshore",36,"Application Submitted","East Ayrshire","S12000008"
"Strathclyde","Sneddon Law Community Wind Farm","Wind Onshore",45,"Under Construction","East Ayrshire","S12000008"
"East Lothian","Dunbar Waste Water Treatment Works, Beltonford Hedderwick - Solar Panels","Solar Photovoltaics",0.26,"Application Submitted","East Lothian","S12000010"
"East Lothian","Howden Farm","Solar Photovoltaics",0.2,"Awaiting Construction","East Lothian","S12000010"
